f_sample,abs_period_,epochs,abs_epoch,method,app,keras_acc_train,keras_acc_test,acctrain,acctest,absperiod
8,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.877,0.82,[1. 1.]
16,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.892,0.87,[1. 1.]
32,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.888,0.93,[12.  8.]
64,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.897,0.95,[12.  9.]
8,1,40,50,I,wine,0.992957771,1,0.754,0.78,[1. 1. 1.]
16,1,40,50,I,wine,0.992957771,1,0.866,0.89,[11.  5.  4.]
32,1,40,50,I,wine,0.992957771,1,0.88,0.94,[3. 2. 1.]
64,1,40,50,I,wine,0.992957771,1,0.915,0.97,[2. 2. 1.]
8,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.792,0.83,[1. 6. 1.]
16,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.883,0.93,[1. 6. 4.]
32,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
64,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 11.  9.]
8,2,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.65,0.67,[2. 2. 2.]
8,3,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.667,0.67,[3. 3. 3.]
8,4,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.633,0.67,[4. 4. 4.]
16,4,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[4. 4. 2.]
16,5,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[5. 4. 2.]
16,6,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[6. 4. 2.]
16,7,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[7. 4. 2.]
16,8,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[8. 4. 2.]
32,8,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[8. 4. 2.]
32,9,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[9. 4. 2.]
32,10,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[10.  4.  2.]
32,11,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.858,0.97,[11. 11.  7.]
32,12,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12. 12.  7.]
32,13,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,14,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,15,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,16,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
64,16,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,17,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,18,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,19,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,20,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,21,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,22,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,23,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,24,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,25,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,26,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,27,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,28,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,29,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,30,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,31,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
